topology,size,traffic,packet_avg_cases,latency_speedup_mean,throughput_improvement_mean,router_traversal_reduction_mean
Diagonal,4,bit_complement,4,1.2076758891779127,0.04839980045131808,0.0626702688325909
Diagonal,4,hotspot,4,1.0039954431316431,0.00186948113634214,0.04695748958724427
Diagonal,4,transpose,4,3.00441168924466,0.09690497262029328,-0.08469994732924438
Diagonal,4,uniform_random,4,1.1348647205787574,0.023447571017852806,0.06116097443382516
Diagonal,8,bit_complement,4,1.1690928584930182,0.2577771635641451,-0.30482330094610666
Diagonal,8,hotspot,4,1.0158506684739783,0.00883648301631241,0.06789980129252166
Diagonal,8,transpose,4,1.309859986707255,0.18687340746469303,-0.2440537544814435
Diagonal,8,uniform_random,4,1.1841667073010123,0.06231915756433749,0.0314440467375196
Stride-2,4,bit_complement,4,1.6633457463677703,0.0790361245864505,0.11664777226531789
Stride-2,4,hotspot,4,1.009338324394484,0.004329244701304531,0.12523495087963374
Stride-2,4,transpose,4,1.227088586073928,0.03306964543228231,0.12390067892228317
Stride-2,4,uniform_random,4,1.436478991805374,0.05821438598653625,0.18313922794608115
Stride-2,8,bit_complement,4,2.376064568815262,1.1423678467700031,-1.0568783152595287
Stride-2,8,hotspot,4,1.02019324253548,0.02121970792456123,0.19256099749910624
Stride-2,8,transpose,4,1.1469357509134595,0.07692266374858028,0.093004081299307
Stride-2,8,uniform_random,4,2.478488176570374,0.3343929682135333,0.014793247203626094
