group,paired_seed_cases,latency_speedup_geomean,latency_speedup_median,throughput_change_mean,router_traversal_reduction_mean,wire_traffic_change_mean,latency_regressions,latency_regressions_over_5pct,worst_latency_speedup,best_latency_speedup
Overall,1536,1.248378946,1.052544452,0.085803505,-0.045430553,0.158321641,171,1,0.926026202,37.061050433
4x4,768,1.340102964,1.040303314,0.042655456,0.021522196,0.074125252,109,1,0.926026202,37.061050433
8x8,768,1.162933024,1.068197688,0.128951553,-0.112383302,0.242518030,62,0,0.959638685,4.729278232
uniform_random,384,1.158172399,1.068978169,0.042883364,0.046302511,0.044928515,27,0,0.974939369,4.081420529
transpose,384,1.749970131,1.168666964,0.141889190,-0.164376851,0.342379205,16,0,0.984956453,37.061050433
bit_complement,384,1.186608609,1.115319612,0.153088482,-0.121076516,0.238469883,13,0,0.967189729,3.148730366
hotspot,384,1.009890764,1.004943113,0.005352982,0.057428645,0.007508961,115,1,0.926026202,1.138137537
packet_1,384,1.394935491,1.034223901,0.071546377,-0.067190116,0.144144447,27,0,0.990637892,37.061050433
packet_4,384,1.255411022,1.072270476,0.103773309,-0.045695914,0.185819304,22,0,0.984397129,13.654620769
packet_16,384,1.239066259,1.062758470,0.103165702,-0.012783789,0.192113781,77,0,0.967189729,8.273501324
packet_64,384,1.119311975,1.046952178,0.064728630,-0.056052392,0.111209032,45,1,0.926026202,3.007071347
