group,paired_seed_cases,latency_speedup_geomean,latency_speedup_median,throughput_change_mean,router_traversal_per_flit_reduction_mean,latency_regressions,latency_regressions_over_5pct,worst_latency_speedup,best_latency_speedup
overall,1536,1.3853053054897675,1.0379378612097971,0.18519930581975852,0.16785619944763033,208,4,0.7869167812266543,97.94284758030919
size=4,768,1.2643085454988152,1.0379378612097971,0.03914651248097726,0.1598189134911527,95,1,0.9089780617958563,50.70080288774622
size=8,768,1.5178816881768011,1.0363192004715458,0.33125209915853976,0.17589348540410799,113,3,0.7869167812266543,97.94284758030919
traffic=bit_complement,384,1.8078072122284892,1.1788865914427484,0.5161995540670682,0.13890883376766064,9,0,0.9556025369922481,97.94284758030919
traffic=hotspot,384,1.005943488961325,1.0,0.0052324673566529764,0.16759160314133748,135,4,0.7869167812266543,1.1317344456448588
traffic=transpose,384,1.176267822172858,1.041996858572093,0.05506273126453338,0.14061650503035567,44,0,0.9551959073280769,10.665423189134923
traffic=uniform_random,384,1.7216706449510217,1.137982064134659,0.16430247059077943,0.22430785585116753,20,0,0.9645390071478387,80.34547320679725
packet_flits=1,384,1.4804188022343736,1.094378790236734,0.20958794975223874,0.21871435195328856,92,0,0.9551959073280769,97.94284758030919
packet_flits=4,384,1.6295633542553618,1.135489665885934,0.26077329957913814,0.21996189370864813,37,0,0.9611230463245177,77.21774316291385
packet_flits=16,384,1.5266031285788098,1.0677513904211469,0.2704359739476571,0.2327485521285847,79,4,0.7869167812266543,34.17651889725185
packet_flits=64,384,1.0,1.0,0.0,0.0,0,0,1.0,1.0
