mode,dimension,value,paired_seed_cases,latency_speedup_geomean,latency_regressions_over_5pct,worst_latency_speedup
static,traffic,bit_complement,96,0.9264984749035702,21,0.1281944349955451
static,traffic,hotspot,96,1.003665012768173,21,0.6667630491423735
static,traffic,transpose,96,1.3495910925651011,1,0.9408029031389024
static,traffic,uniform_random,96,1.035713911220481,1,0.9312019491136072
static,offered_flits_per_node_cycle,0.05,96,1.0014434669330712,4,0.9130023640515574
static,offered_flits_per_node_cycle,0.1,96,1.0005917943799838,10,0.8750553811741582
static,offered_flits_per_node_cycle,0.3,96,1.0697358752452115,18,0.6667630491423735
static,offered_flits_per_node_cycle,0.7,96,1.2125944359587073,12,0.1281944349955451
adaptive,traffic,bit_complement,96,1.0556413378153429,0,0.9805877887483212
adaptive,traffic,hotspot,96,1.0759503226217928,0,0.9568237657654282
adaptive,traffic,transpose,96,1.2230381034051716,0,0.9829113923683748
adaptive,traffic,uniform_random,96,1.028412349225443,0,0.9843142023252078
adaptive,offered_flits_per_node_cycle,0.05,96,1.009298735749613,0,0.9796720574842767
adaptive,offered_flits_per_node_cycle,0.1,96,1.0125605407146037,0,0.9568237657654282
adaptive,offered_flits_per_node_cycle,0.3,96,1.0741542913613593,0,0.998421008883461
adaptive,offered_flits_per_node_cycle,0.7,96,1.3013930497788286,0,1.0
