topology,nodes,mesh_rows,source,scope,group_size,packet_flits,injection_rate,background_rate,seed,naive_latency_ticks,tree_latency_ticks,latency_speedup,naive_link_flits,tree_link_flits,traffic_reduction,naive_throughput,tree_throughput,throughput_improvement,naive_logical_bytes_per_cycle,tree_logical_bytes_per_cycle,naive_artifact,tree_artifact
4x4,16,4,5,common,4,1,0.1,0.0,1,8500.0,5000.0,1.7,700.0,500.0,0.2857142857142857,0.050075,0.050251,0.0035147279081377825,6.409614421632448,6.432160804020101,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.1-b0-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.1-b0-s1
4x4,16,4,5,common,4,1,0.1,0.0,7,10500.0,6000.0,1.75,900.0,600.0,0.33333333333333337,0.049975,0.050201,0.004522261130565308,6.3968015992004,6.42570281124498,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.1-b0-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.1-b0-s7
4x4,16,4,5,common,4,1,0.1,0.0,17,7500.0,5000.0,1.5,600.0,500.0,0.16666666666666663,0.050125,0.050251,0.002513715710723119,6.416040100250627,6.432160804020101,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.1-b0-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.1-b0-s17
4x4,16,4,5,common,4,1,0.1,0.1,1,8610.0,5000.0,1.722,700.0,500.0,0.2857142857142857,0.050075,0.050251,0.0035147279081377825,6.409614421632448,6.432160804020101,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.1-b0.1-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.1-b0.1-s1
4x4,16,4,5,common,4,1,0.1,0.1,7,10600.0,6000.0,1.7666666666666666,900.0,600.0,0.33333333333333337,0.04995,0.050201,0.005025025025024998,6.393606393606394,6.42570281124498,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.1-b0.1-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.1-b0.1-s7
4x4,16,4,5,common,4,1,0.1,0.1,17,7560.0,5000.0,1.512,600.0,500.0,0.16666666666666663,0.050125,0.050251,0.002513715710723119,6.416040100250627,6.432160804020101,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.1-b0.1-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.1-b0.1-s17
4x4,16,4,5,common,4,1,0.5,0.0,1,8500.0,5000.0,1.7,700.0,500.0,0.2857142857142857,0.099305,0.246305,1.4802880016111977,12.711022840119165,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.5-b0-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.5-b0-s1
4x4,16,4,5,common,4,1,0.5,0.0,7,10500.0,6000.0,1.75,900.0,600.0,0.33333333333333337,0.098912,0.245098,1.4779399870592043,12.660731948565775,31.372549019607842,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.5-b0-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.5-b0-s7
4x4,16,4,5,common,4,1,0.5,0.0,17,7500.0,5000.0,1.5,600.0,500.0,0.16666666666666663,0.123916,0.246305,0.9876771361244714,15.861214374225527,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.5-b0-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.5-b0-s17
4x4,16,4,5,common,4,1,0.5,0.1,1,8605.0,5000.0,1.721,700.0,500.0,0.2857142857142857,0.099305,0.246305,1.4802880016111977,12.711022840119165,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.5-b0.1-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.5-b0.1-s1
4x4,16,4,5,common,4,1,0.5,0.1,7,10585.0,6000.0,1.7641666666666667,900.0,600.0,0.33333333333333337,0.098814,0.245098,1.4803975145222337,12.648221343873518,31.372549019607842,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.5-b0.1-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.5-b0.1-s7
4x4,16,4,5,common,4,1,0.5,0.1,17,7630.0,5000.0,1.526,600.0,500.0,0.16666666666666663,0.123916,0.246305,0.9876771361244714,15.861214374225527,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r0.5-b0.1-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r0.5-b0.1-s17
4x4,16,4,5,common,4,1,1.0,0.0,1,8500.0,5000.0,1.7,700.0,500.0,0.2857142857142857,0.099305,0.246305,1.4802880016111977,12.711022840119165,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r1-b0-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r1-b0-s1
4x4,16,4,5,common,4,1,1.0,0.0,7,10500.0,6000.0,1.75,900.0,600.0,0.33333333333333337,0.098912,0.245098,1.4779399870592043,12.660731948565775,31.372549019607842,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r1-b0-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r1-b0-s7
4x4,16,4,5,common,4,1,1.0,0.0,17,7500.0,5000.0,1.5,600.0,500.0,0.16666666666666663,0.123916,0.246305,0.9876771361244714,15.861214374225527,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r1-b0-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r1-b0-s17
4x4,16,4,5,common,4,1,1.0,0.1,1,8605.0,5000.0,1.721,700.0,500.0,0.2857142857142857,0.099305,0.246305,1.4802880016111977,12.711022840119165,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r1-b0.1-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r1-b0.1-s1
4x4,16,4,5,common,4,1,1.0,0.1,7,10585.0,6000.0,1.7641666666666667,900.0,600.0,0.33333333333333337,0.098814,0.245098,1.4803975145222337,12.648221343873518,31.372549019607842,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r1-b0.1-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r1-b0.1-s7
4x4,16,4,5,common,4,1,1.0,0.1,17,7630.0,5000.0,1.526,600.0,500.0,0.16666666666666663,0.123916,0.246305,0.9876771361244714,15.861214374225527,31.52709359605911,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f1-r1-b0.1-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f1-r1-b0.1-s17
4x4,16,4,5,common,4,4,0.1,0.0,1,16000.0,12500.0,1.28,2800.0,2000.0,0.2857142857142857,0.049702,0.049875,0.003480745241640104,25.447316103379723,25.536159600997507,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.1-b0-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.1-b0-s1
4x4,16,4,5,common,4,4,0.1,0.0,7,18000.0,13500.0,1.3333333333333333,3600.0,2400.0,0.33333333333333337,0.049603,0.049826,0.004495695824849433,25.396825396825395,25.5107125062282,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.1-b0-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.1-b0-s7
4x4,16,4,5,common,4,4,0.1,0.0,17,15000.0,12500.0,1.2,2400.0,2000.0,0.16666666666666663,0.049751,0.049875,0.0024924122128200388,25.472636815920396,25.536159600997507,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.1-b0-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.1-b0-s17
4x4,16,4,5,common,4,4,0.1,0.1,1,26730.0,12500.0,2.1384,2800.0,2000.0,0.2857142857142857,0.048852,0.049875,0.020940800786047653,25.01221299462628,25.536159600997507,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.1-b0.1-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.1-b0.1-s1
4x4,16,4,5,common,4,4,0.1,0.1,7,43640.0,13500.0,3.2325925925925927,3600.0,2400.0,0.33333333333333337,0.047551,0.049826,0.047843368173119405,24.346172135045173,25.5107125062282,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.1-b0.1-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.1-b0.1-s7
4x4,16,4,5,common,4,4,0.1,0.1,17,15175.0,12500.0,1.214,2400.0,2000.0,0.16666666666666663,0.049751,0.049875,0.0024924122128200388,25.472636815920396,25.536159600997507,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.1-b0.1-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.1-b0.1-s17
4x4,16,4,5,common,4,4,0.5,0.0,1,80000.0,34500.0,2.318840579710145,2800.0,2000.0,0.2857142857142857,0.046729,0.060496,0.29461362323182616,23.925233644859812,30.973986690865093,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.5-b0-s1,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.5-b0-s1
4x4,16,4,5,common,4,4,0.5,0.0,7,80000.0,35500.0,2.2535211267605635,3600.0,2400.0,0.33333333333333337,0.046729,0.060423,0.29305142416914554,23.925233644859812,30.93655589123867,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.5-b0-s7,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.5-b0-s7
4x4,16,4,5,common,4,4,0.5,0.0,17,60000.0,34500.0,1.7391304347826086,2400.0,2000.0,0.16666666666666663,0.062344,0.060496,-0.02964198639804949,31.92019950124688,30.973986690865093,report/raw-results/multicast-4x4-8x8/naive_unicast-4x4-g4-f4-r0.5-b0-s17,report/raw-results/multicast-4x4-8x8/tree_multicast-4x4-g4-f4-r0.5-b0-s17
